Watching for file changes with StatReloader
Not Found: /fonts/hkgrotesk-bold-webfont.woff2
Not Found: /fonts/hkgrotesk-light-webfont.woff2
Not Found: /fonts/hkgrotesk-bold-webfont.woff
Not Found: /fonts/hkgrotesk-light-webfont.woff
Not Found: /error/9/
C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\art_project\settings.py changed, reloading.
Not Found: /error/9/
2022-04-07 14:52:18,276 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:52:18,292 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:52:18,307 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:52:18,345 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff
2022-04-07 14:52:18,345 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:52:18,345 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:52:21,968 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:52:21,984 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:52:21,984 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:52:21,999 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff
2022-04-07 14:52:22,015 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:52:22,015 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:52:31,131 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:52:31,131 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:52:31,131 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:52:31,162 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:52:31,178 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:52:31,193 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff
2022-04-07 14:56:42,297 [ERROR] log 22656 32376 Internal Server Error: /painting/edit/63/
Traceback (most recent call last):
  File "C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\venv\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
